simp_plot,reservatio,community.x,longitude,latitude,vibifq,carex,dicot,shade,shrub,hydro,svp,fqi,sens_rel,tol_rel,developed.x,ldi,small_tree,subcanopy_dens,subcanopy_dom,subcanopy_iv,canopy_dens,canopy_dom,canopy_iv,monocots,perc_open,slope,aspect,twi,V1,ACFL,ALFL,AMCR,AMGO,AMKE,AMRE,AMRO,AMWO,BADO,BAEA,BANS,BAOR,BARS,BCCH,BEKI,BGGN,BHCO,BHVI,BLJA,BOBO,BRCR,BRTH,BTNW,BWHA,BWWA,CANG,CARW,CEDW,CERW,CHSP,CHSW,CLSW,COGR,COHA,COYE,DEJU,DOWO,EABL,EAKI,EAME,EAPH,EATO,EAWP,EUST,FISP,GBHE,GCFL,GHOW,GRCA,GRHE,HAWO,HERG,HETH,HOFI,HOSP,HOWA,HOWR,INBU,KILL,LOWA,MALL,MODO,NOCA,NOFL,NOPA,NRWS,OROR,OVEN,PIWO,PUFI,PUMA,RBGR,RBGU,RBNU,RBWO,REVI,RHWO,ROPI,RSHA,RTHA,RTHU,RWBL,SAVS,SCTA,SOSP,SWSP,TRES,TUTI,TUVU,VEER,VIRA,WAVI,WBNU,WEVI,WIFL,WITU,WIWR,WODU,WOTH,YBCU,YEWA,YTVI,YTWA,plot_id,id,reservation,community.y,vibi,fqai,deer,year,panel,pcap.id,fragment.id,developed.y,activity.area,closest.developed,sanctioned.trail,bootleg.trail,closest.trail,developed.edge,stream.edge,total.edges,fragment.area,fragment.perimeter,ldi.index.score,area,perimeter,ldi_3k,dist_road
1002,HI,SugarMapleMixedHardwoodForest,0,0,24.3506371,9,30,25,0.021247993,0.031686275,1,19.47062565,0.000313725,0.766065359,175,1.217612466,0.139364303,10,24.05,0.028635047,3210,16740.7914,0.150031756,2,2.795,3.31,289.21,7.48419,0,1,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1002_1st,2,Hinckley,Old Clearcut (>25 years),44,18.734994,medium high,2010,Year_1,2,318,175,154,154,14,11,11,23105,0,23105,4185661,12531,1.38,2877403,9218,1.217612466,665.1777426
1003,MS,BeechMixedHardwoodHemlockForest,0,0,52.67227178,4,22,22,0.01824834,0.066770532,1,22.98097039,0.051747162,0.042844425,119,1.066578851,0.04845815,20,232.925,0.02941811,1960,54623.65784,0.1596232,3,2.275,1.05,220.85,13.69536,1,5,0,0,4,0,0,4,0,0,0,0,2,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,5,0,0,0,0,0,4,0,0,0,0,1003_1st,3,Mill Stream Run,Beech-maple forest,63,25.93067681,medium high,2010,Year_1,3,1865,119,358,119,NA,NA,NA,4217,0,4217,380278,3205,1.47,116576,1500,1.066578851,219.6163544
1004,BE,RuderalWetMesicShrublandandThicket,0,0,35.10323036,2,21,23,0.337954011,0.558710387,4,15.08659217,0.009159187,0.260426207,290,0.46790699,0.108695652,600,117.78,0.158305771,233.3333333,83230.11769,0.120215467,3,17.59333333,21.68,152.79,8.90443,1,5,0,3,1,0,0,5,0,0,0,0,0,0,6,1,2,3,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,5,7,0,0,1,0,0,0,0,5,0,0,0,6,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,1004_1st,4,Bedford,Mesic Floodplain Forest,63,20.17822376,medium high,2010,Year_1,4,3386,290,959,290,54,67,54,10139,8695,18834,1945098,13162,1.78,1238095,9912,0.46790699,431.153882
1005,HI,SugarMapleMixedHardwoodForest,0,0,65.84743318,11,47,52,0.024658659,0.128541811,3,30.5122926,0.088512041,0.196852905,204,1.344624456,0.114361702,220,1226.730333,0.072592648,2640,26135.98303,0.157062019,5,2.925,3.72,280.79,9.91448,0,3,0,2,2,0,0,2,0,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,3,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,1,3,0,1,2,3,0,3,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,1005_1st,5,Hinckley,"""MIXED"" FORESTS",67,31.38078785,low,2010,Year_1,5,539,204,NA,204,NA,NA,NA,16061,3289,19350,798728,9220,1.12,318239,5394,1.344624456,452.6323353
1006,BW,WetMesicRedMapleForest,0,0,64.74054931,3,21,23,0.112678136,0.254709325,2,26.5822807,0.046004015,0.068771091,300,0.372307001,0.132352941,640,282.7345,0.106442486,580,44187.92985,0.135595968,6,4.225,0.26,320.27,14.27437,0,2,0,1,1,0,0,4,0,0,0,0,1,0,6,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,4,0,0,4,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,4,0,2,0,0,3,0,0,0,1,0,6,0,0,0,0,1006_1st,6,Bradley Woods,Oak-Maple swamp,61,24.42632108,very high,2010,Year_1,6,3782,300,1104,300,371,518,371,20787,0,20787,2780009,12429,1.25,1484354,10226,0.372307001,442.5859729
1008,WC,WetMesicRedMapleForest,0,0,25.13573831,4,11,13,0,0.258754528,0,16.84285659,0.051750906,0.286182508,69,3.598810026,0.130841121,12.5,552.25,0.031308694,1075,68325.37987,0.21644765,3,1.625,1.17,311.58,10.8706,0,0,0,1,3,0,0,3,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1008_1st,8,West Creek,Mesic Floodplain Forest,36,17.4077656,high,2010,Year_1,8,2875,69,NA,69,1776,48,48,11387,3831,15218,536239,9971,1.61,0,0,3.598810026,178.6884837
1009,HI,BottomlandForest,0,0,35.28322544,5,36,40,0.099387969,0.114944889,0,23.37254505,0.00384946,0.643860752,24,0.785055125,0.119873817,230,157.8183333,0.06922377,450,45808.83823,0.10548722,3,9.1,0.91,356.92,8.54582,0,3,0,2,2,0,0,3,0,0,0,0,1,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,3,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1009_1st,9,Hinckley,Mesic Floodplain Forest,47,22.40448134,medium low,2010,Year_1,9,703,24,200,24,NA,NA,NA,3056,0,3056,109209,1524,1.33,0,0,0.785055125,78.01032193
1011,BE,RuderalWetMesicShrublandandThicket,0,0,14.01093065,6,21,14,0.010460616,0.023174523,0,9.373601591,0.005793631,0.831443966,45,5.712456615,0.162162162,0,0,0,50,18571.66667,0.165156084,1,81.835,7.79,244.19,7.98521,0,0,0,1,2,0,0,3,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1011_1st,11,Bedford,Old Field (>10 years),30,10.78253949,medium low,2010,Year_1,11,3409,45,NA,45,26,233,26,9049,0,9049,528551,7985,2.68,0,0,5.712456615,40.7421514
1012,NC,SugarMapleMixedHardwoodForest,0,0,60.9815207,7,28,30,0.349642005,0.600318164,0,25.28571429,0.051050906,0.088796761,70,0.217903679,0.109965636,620,71.8965,0.077257169,1430,32689.29743,0.15060114,7,2.86,3.98,77.59,11.91425,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1012_1st,12,North Chagrin,Sugar maple forest,57,28.14285714,medium high,2010,Year_1,12,16616,70,762,70,174,87,87,5583,1230,6813,1485834,5875,1.67,0,0,0.217903679,131.0645815
1013,BR,BeechMixedHardwoodHemlockForest,0,0,40.41128432,7,15,22,0.047165391,0.100126321,0,20.32931996,0.040688784,0.329698823,1,1.391786904,0.219512195,0,0,0,1500,52720.93399,0.19603745,5,2.86,3.67,270.46,10.88912,0,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1013_1st,13,Brecksville,Beech-maple forest,54,22.06253738,high,2010,Year_1,13,802,1,NA,1,NA,NA,NA,7537,0,7537,68352,2997,2.76,0,0,1.391786904,104.8130198
